name,description
"Giao dịch mua bán tài sản", "Giao dịch mua và bán các tài sản như chứng khoán, bất động sản và vàng."
"Giao dịch chuyển tiền", "Chuyển tiền giữa các tài khoản hoặc các ngân hàng trong và ngoài nước."
"Giao dịch ngoại hối", "Giao dịch mua bán ngoại tệ trên thị trường quốc tế."
"Giao dịch chứng khoán", "Mua bán cổ phiếu, trái phiếu và các sản phẩm chứng khoán khác."
"Giao dịch tài chính", "Các hoạt động giao dịch liên quan đến các sản phẩm tài chính như hợp đồng kỳ hạn, quyền chọn."
"Giao dịch bất động sản", "Mua bán và cho thuê bất động sản."
"Giao dịch tài chính cá nhân", "Các dịch vụ tư vấn tài chính cho cá nhân về đầu tư và quản lý tài sản."
"Giao dịch thanh toán quốc tế", "Giao dịch thanh toán giữa các quốc gia thông qua ngân hàng và các dịch vụ thanh toán quốc tế."
"Giao dịch huy động vốn", "Hoạt động huy động vốn từ các nhà đầu tư cho các dự án hoặc công ty."
"Giao dịch vay và cho vay", "Các giao dịch vay và cho vay tiền giữa các cá nhân hoặc tổ chức."
"Giao dịch thanh toán hóa đơn", "Thanh toán các hóa đơn dịch vụ và sản phẩm qua các cổng thanh toán điện tử."
"Giao dịch bảo hiểm", "Mua và bán các hợp đồng bảo hiểm cho cá nhân và doanh nghiệp."
"Giao dịch mua bán hàng hóa", "Giao dịch mua và bán các sản phẩm hàng hóa từ nhà sản xuất đến người tiêu dùng."
"Giao dịch tín dụng", "Các giao dịch liên quan đến tín dụng như thẻ tín dụng, vay tín dụng và các dịch vụ tín dụng khác."
"Giao dịch ngân hàng điện tử", "Các giao dịch tài chính thực hiện qua các nền tảng ngân hàng điện tử."
"Giao dịch chuyển nhượng cổ phần", "Chuyển nhượng cổ phần của công ty giữa các nhà đầu tư."
"Giao dịch tiền ảo", "Mua bán và giao dịch các loại tiền ảo như Bitcoin, Ethereum."
"Giao dịch chứng khoán phái sinh", "Giao dịch các sản phẩm chứng khoán phái sinh như hợp đồng tương lai, quyền chọn."
"Giao dịch thanh toán thẻ", "Thanh toán mua sắm và dịch vụ qua thẻ tín dụng và thẻ ghi nợ."
"Giao dịch tài sản kỹ thuật số", "Mua bán và trao đổi các tài sản kỹ thuật số như NFT."
"Giao dịch hợp đồng tương lai", "Giao dịch các hợp đồng mua bán tài sản trong tương lai."
"Giao dịch tín dụng tiêu dùng", "Các giao dịch liên quan đến việc vay tín dụng tiêu dùng cho các cá nhân."
"Giao dịch qua ví điện tử", "Thực hiện giao dịch qua các ví điện tử như PayPal, Momo."
