name,description
Giám đốc điều hành (CEO),"Chịu trách nhiệm quản lý toàn bộ công ty, đưa ra chiến lược và định hướng phát triển."
Trưởng phòng kỹ thuật (CTO),"Lãnh đạo bộ phận kỹ thuật, chịu trách nhiệm về công nghệ và phát triển sản phẩm."
Trưởng phòng tài chính (CFO),"Quản lý tài chính, lập kế hoạch ngân sách và giám sát các hoạt động tài chính."
Quản lý nhân sự (HR Manager),"Phụ trách tuyển dụng, đào tạo và quản lý nhân sự trong công ty."
Trưởng nhóm phát triển phần mềm,"Quản lý đội ngũ lập trình viên, đảm bảo tiến độ và chất lượng phần mềm."
Chuyên viên phân tích dữ liệu,"Thu thập, phân tích và đưa ra báo cáo dựa trên dữ liệu."
Nhân viên chăm sóc khách hàng,"Hỗ trợ khách hàng, giải đáp thắc mắc và xử lý khiếu nại."
Kỹ sư DevOps,"Quản lý hệ thống CI/CD, triển khai và tối ưu hạ tầng công nghệ."
Nhân viên marketing,"Thực hiện các chiến dịch quảng cáo và tiếp thị sản phẩm."
Nhân viên bán hàng,"Tư vấn, giới thiệu sản phẩm và hỗ trợ khách hàng trong quá trình mua hàng."
