name,description
"Gói dịch vụ bảo trì","Thông báo dịch vụ bảo trì sắp hết hạn, vui lòng gia hạn để tiếp tục sử dụng."
"Gia hạn gói phần mềm","Gói phần mềm của bạn sắp hết hạn, hãy gia hạn để tránh gián đoạn."
"Dịch vụ hỗ trợ kỹ thuật","Dịch vụ hỗ trợ kỹ thuật sẽ kết thúc vào ngày XX/XX/XXXX, vui lòng gia hạn."
"Bảo hiểm xe hơi","Gói bảo hiểm xe hơi của bạn sắp hết hạn, hãy kiểm tra để gia hạn."
"Hợp đồng bảo trì hệ thống","Hợp đồng bảo trì hệ thống sắp hết hạn, vui lòng xem xét gia hạn."
"Dịch vụ lưu trữ đám mây","Dịch vụ lưu trữ của bạn sắp hết hạn, tránh mất dữ liệu bằng cách gia hạn ngay."
"Đăng ký tên miền","Tên miền của bạn sắp hết hạn, vui lòng gia hạn để tránh bị mất."
"Gói cước internet","Gói cước internet sắp hết hạn, hãy liên hệ nhà cung cấp để tiếp tục sử dụng."
"Dịch vụ bảo vệ website","Dịch vụ bảo vệ website sắp hết hạn, hãy gia hạn để đảm bảo an toàn."
"Gói phần mềm kế toán","Gói phần mềm kế toán của bạn sẽ hết hạn trong vòng 7 ngày."
"Dịch vụ email doanh nghiệp","Email doanh nghiệp của bạn sắp hết hạn, vui lòng gia hạn để tiếp tục sử dụng."
"Bảo trì hệ thống mạng","Hợp đồng bảo trì hệ thống mạng sắp hết hạn, cần gia hạn để tiếp tục bảo trì."
"Dịch vụ VPN","Dịch vụ VPN của bạn sẽ hết hạn sớm, hãy kiểm tra để gia hạn ngay."
"Gia hạn chứng chỉ SSL","Chứng chỉ SSL của website sắp hết hạn, vui lòng gia hạn để tránh gián đoạn."
"Dịch vụ quản lý server","Dịch vụ quản lý server sẽ kết thúc vào ngày XX/XX/XXXX, vui lòng gia hạn."
"Phần mềm bảo mật","Phần mềm bảo mật của bạn sắp hết hạn, cần cập nhật để bảo vệ thiết bị."
"Dịch vụ lưu trữ website","Gói lưu trữ website của bạn sẽ hết hạn, vui lòng gia hạn để tránh mất dữ liệu."
"Đăng ký hosting","Dịch vụ hosting của bạn sắp hết hạn, hãy kiểm tra để gia hạn kịp thời."
"Dịch vụ bảo vệ dữ liệu","Dịch vụ sao lưu và bảo vệ dữ liệu sắp hết hạn, vui lòng gia hạn."
"Gói cước truyền hình","Gói cước truyền hình của bạn sẽ hết hạn trong 3 ngày, hãy gia hạn ngay."
"Gia hạn bảo hành thiết bị","Thời gian bảo hành thiết bị sắp hết, hãy gia hạn để tiếp tục được hỗ trợ."
"Bảo hiểm sức khỏe","Gói bảo hiểm sức khỏe của bạn sẽ hết hạn vào cuối tháng này."
"Dịch vụ điện toán đám mây","Dịch vụ cloud computing của bạn sắp hết hạn, hãy gia hạn để tiếp tục sử dụng."
"Gia hạn phần mềm thiết kế","Phần mềm thiết kế của bạn sắp hết hạn, cần gia hạn để tiếp tục làm việc."
"Dịch vụ thuê máy chủ","Hợp đồng thuê máy chủ của bạn sẽ kết thúc vào ngày XX/XX/XXXX."
"Gói dịch vụ quảng cáo","Dịch vụ quảng cáo trực tuyến của bạn sắp hết hạn, cần gia hạn để không bị gián đoạn."
"Dịch vụ sao lưu dữ liệu","Dịch vụ sao lưu dữ liệu sắp hết hạn, hãy gia hạn để bảo vệ dữ liệu."
"Dịch vụ bảo vệ hệ thống","Hệ thống bảo vệ doanh nghiệp của bạn sắp hết hạn, vui lòng gia hạn."
"Gói dịch vụ email marketing","Dịch vụ email marketing của bạn sắp hết hạn, hãy gia hạn để tiếp tục gửi email."
"Hợp đồng dịch vụ tư vấn","Hợp đồng tư vấn của bạn sẽ hết hạn trong vòng 15 ngày, hãy xem xét gia hạn."
"Dịch vụ tổng đài ảo","Dịch vụ tổng đài ảo của bạn sắp hết hạn, vui lòng gia hạn để tiếp tục sử dụng."
"Gói dịch vụ phân tích dữ liệu","Gói dịch vụ phân tích dữ liệu sắp hết hạn, hãy gia hạn ngay."
"Dịch vụ giám sát an ninh","Dịch vụ giám sát an ninh của bạn sắp hết hạn, hãy kiểm tra để gia hạn."
"Dịch vụ hỗ trợ kỹ thuật 24/7","Hợp đồng hỗ trợ kỹ thuật 24/7 của bạn sẽ kết thúc vào cuối tháng này."
"Gói bảo trì thiết bị văn phòng","Dịch vụ bảo trì thiết bị văn phòng của bạn sắp hết hạn, cần gia hạn."
"Dịch vụ kiểm tra bảo mật","Dịch vụ kiểm tra bảo mật của bạn sẽ hết hạn trong 5 ngày, hãy gia hạn ngay."
"Dịch vụ sao lưu email","Dịch vụ sao lưu email của bạn sắp hết hạn, vui lòng gia hạn."
"Dịch vụ lưu trữ dữ liệu doanh nghiệp","Gói lưu trữ dữ liệu doanh nghiệp của bạn sẽ hết hạn, cần gia hạn."
"Dịch vụ hỗ trợ khách hàng","Dịch vụ hỗ trợ khách hàng của bạn sắp hết hạn, vui lòng kiểm tra gia hạn."
"Hợp đồng bảo trì phần cứng","Hợp đồng bảo trì phần cứng sắp hết hạn, cần gia hạn để tiếp tục được hỗ trợ."
"Dịch vụ thuê phần mềm","Dịch vụ thuê phần mềm của bạn sắp hết hạn, vui lòng gia hạn."
"Dịch vụ quản lý tài liệu","Dịch vụ quản lý tài liệu của bạn sẽ hết hạn trong vòng 7 ngày."
"Dịch vụ phân tích marketing","Dịch vụ phân tích marketing sắp hết hạn, cần gia hạn để tiếp tục sử dụng."
"Gói dịch vụ bảo vệ doanh nghiệp","Dịch vụ bảo vệ doanh nghiệp sắp hết hạn, vui lòng gia hạn ngay."
"Gia hạn dịch vụ tài chính","Dịch vụ tài chính của bạn sẽ hết hạn vào cuối quý này."
"Dịch vụ cung cấp API","API của bạn sẽ hết hạn vào ngày XX/XX/XXXX, vui lòng gia hạn để tiếp tục sử dụng."
